Ref,Val,Package,PosX,PosY,Rot,Side
"C17","100n","C_0603_1608Metric",31.337500,-39.750000,180.000000,bottom
"C18","1u","C_0603_1608Metric",31.537500,-32.737500,180.000000,bottom
"C19","22u","C_0805_2012Metric",36.562500,-48.637500,-90.000000,bottom
"C20","22u","C_0805_2012Metric",42.762500,-49.687500,180.000000,bottom
"D1","PMEG2005CT,215","SOT-23",35.450000,-42.887500,0.000000,bottom
"J2","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",36.012500,-55.587500,180.000000,bottom
"R3","2k7","R_0402_1005Metric",31.362500,-16.987500,180.000000,bottom
"R4","2k7","R_0402_1005Metric",31.362500,-18.087500,0.000000,bottom
"U1","SN74LVC1T45DBV","SOT-23-6",33.775000,-25.812500,0.000000,bottom
"U5","AMS1117-3.3","SOT-223-3_TabPin2",42.712500,-44.387500,0.000000,bottom
"U6","TLV70018","SOT-23-5",31.362500,-35.887500,90.000000,bottom
"U8","SN74LVC1T45DBV","SOT-23-6",28.675000,-25.812500,0.000000,bottom
