Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","C_0603_1608Metric",28.862500,-31.362500,180.000000,top
"C2","100n","C_0402_1005Metric",30.962500,-30.962500,90.000000,top
"C3","100n","C_0402_1005Metric",42.012500,-32.142500,90.000000,top
"C4","100n","C_0402_1005Metric",41.562500,-43.687500,0.000000,top
"C5","100n","C_0402_1005Metric",32.337500,-45.437500,180.000000,top
"C6","100n","C_0402_1005Metric",26.062500,-42.392500,-90.000000,top
"C7","10n","C_0402_1005Metric",27.650000,-42.392500,-90.000000,top
"C8","1u","C_0402_1005Metric",27.420000,-39.187500,0.000000,top
"C9","1u","C_0402_1005Metric",27.932500,-33.662500,180.000000,top
"C10","100n","C_0402_1005Metric",28.462500,-22.287500,90.000000,top
"C11","100n","C_0402_1005Metric",34.062500,-20.367500,90.000000,top
"C12","100n","C_0402_1005Metric",31.987500,-24.587500,-90.000000,top
"C13","2u2","C_0603_1608Metric",41.662500,-45.112500,0.000000,top
"C14","2u2","C_0603_1608Metric",43.762500,-31.687500,90.000000,top
"C15","100n","C_0402_1005Metric",39.832500,-22.562500,180.000000,top
"C16","100n","C_0402_1005Metric",42.262500,-24.462500,-90.000000,top
"C21","14p","C_0402_1005Metric",25.212500,-35.412500,90.000000,top
"C22","14p","C_0402_1005Metric",25.212500,-37.732500,-90.000000,top
"C23","100n","C_0402_1005Metric",26.812500,-29.037500,-90.000000,top
"D2","RED","LED_0603_1608Metric",54.162500,-42.887500,180.000000,top
"FB1","120R @ 100MHz","L_0603_1608Metric",26.862500,-40.587500,180.000000,top
"J1","629105150521","USB_Micro-B_Wuerth_629105150521",52.907500,-35.487500,90.000000,top
"J3","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",29.412500,-55.587500,0.000000,top
"J4","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",42.112500,-55.587500,0.000000,top
"J5","Conn_02x05_Odd_Even","PinHeader_2x05_P1.27mm_Vertical",46.937500,-28.357500,90.000000,top
"R1","3k3","R_0402_1005Metric",29.862500,-17.987500,-90.000000,top
"R2","2k7","R_0402_1005Metric",28.162500,-18.487500,180.000000,top
"R5","10k","R_0402_1005Metric",35.812500,-22.112500,180.000000,top
"R6","3k3","R_0402_1005Metric",32.642500,-16.987500,180.000000,top
"R7","2k7","R_0402_1005Metric",32.642500,-18.087500,0.000000,top
"R8","10k","R_0402_1005Metric",40.552500,-27.512500,0.000000,top
"R9","1.5k","R_0402_1005Metric",54.722500,-41.537500,180.000000,top
"R10","10k","R_0402_1005Metric",20.762500,-32.287500,0.000000,top
"SW1","PTS815SJM250SMTRLFS","SW4_PTS815 SJM 250 SMTR LFS_CNK",22.562500,-29.212500,0.000000,top
"SW2","PCM12SMTR","SW_SPDT_PCM12",16.862500,-31.587500,-90.000000,top
"U2","ICM-20948","InvenSense_QFN-24_3x3mm_P0.4mm",31.262500,-21.287500,0.000000,top
"U3","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",36.012500,-37.462500,0.000000,top
"U4","USBLC6-2SC6","SOT-23-6",47.125000,-35.487500,180.000000,top
"U7","BMP390L","BMP390L",40.062500,-24.787500,0.000000,top
"Y1","X32258MOB4SI","Crystal_SMD_3225-4Pin_3.2x2.5mm",22.737500,-36.562500,-90.000000,top
